time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,timestamp
2025-07-19T00:00,3.4,3.3,291.0,10.8,33.0,5.1,Bangalore,20250719T104007Z
2025-07-19T01:00,2.7,2.6,219.0,8.6,35.0,4.5,Bangalore,20250719T104007Z
2025-07-19T02:00,2.4,2.2,167.0,6.9,36.0,4.1,Bangalore,20250719T104007Z
2025-07-19T03:00,2.5,2.2,139.0,5.9,37.0,4.0,Bangalore,20250719T104007Z
2025-07-19T04:00,2.8,2.3,131.0,5.4,36.0,4.0,Bangalore,20250719T104007Z
2025-07-19T05:00,2.4,2.4,150.0,6.9,33.0,5.3,Bangalore,20250719T104007Z
2025-07-19T06:00,3.0,2.8,224.0,8.2,32.0,5.6,Bangalore,20250719T104007Z
2025-07-19T07:00,4.6,3.9,326.0,10.0,31.0,6.0,Bangalore,20250719T104007Z
2025-07-19T08:00,6.7,5.3,383.0,10.7,33.0,6.1,Bangalore,20250719T104007Z
2025-07-19T09:00,10.0,6.4,341.0,9.3,39.0,5.8,Bangalore,20250719T104007Z
2025-07-19T10:00,10.8,6.8,253.0,6.8,47.0,5.3,Bangalore,20250719T104007Z
2025-07-19T11:00,12.3,7.0,210.0,4.8,54.0,4.8,Bangalore,20250719T104007Z
2025-07-19T12:00,12.7,6.8,259.0,3.5,62.0,4.3,Bangalore,20250719T104007Z
2025-07-19T13:00,13.7,7.2,353.0,2.8,69.0,3.8,Bangalore,20250719T104007Z
2025-07-19T14:00,14.6,7.3,437.0,3.7,71.0,3.5,Bangalore,20250719T104007Z
2025-07-19T15:00,19.6,9.3,504.0,7.6,64.0,3.7,Bangalore,20250719T104007Z
2025-07-19T16:00,15.0,8.4,561.0,13.1,53.0,4.1,Bangalore,20250719T104007Z
2025-07-19T17:00,14.3,8.8,581.0,17.5,43.0,4.6,Bangalore,20250719T104007Z
2025-07-19T18:00,12.5,9.1,539.0,19.7,37.0,5.2,Bangalore,20250719T104007Z
2025-07-19T19:00,9.9,7.7,459.0,20.7,32.0,5.8,Bangalore,20250719T104007Z
2025-07-19T20:00,7.3,6.3,391.0,20.5,29.0,6.1,Bangalore,20250719T104007Z
2025-07-19T21:00,5.7,5.2,357.0,18.6,29.0,6.0,Bangalore,20250719T104007Z
2025-07-19T22:00,4.6,4.4,334.0,15.5,30.0,5.5,Bangalore,20250719T104007Z
2025-07-19T23:00,3.8,3.7,306.0,12.6,32.0,5.1,Bangalore,20250719T104007Z
2025-07-20T00:00,2.9,2.8,260.0,10.4,34.0,4.6,Bangalore,20250719T104007Z
2025-07-20T01:00,2.4,2.3,208.0,8.4,37.0,4.1,Bangalore,20250719T104007Z
2025-07-20T02:00,2.0,1.9,172.0,6.9,39.0,3.8,Bangalore,20250719T104007Z
2025-07-20T03:00,1.7,1.6,153.0,5.8,41.0,3.7,Bangalore,20250719T104007Z
2025-07-20T04:00,1.5,1.4,149.0,5.2,42.0,3.7,Bangalore,20250719T104007Z
2025-07-20T05:00,1.5,1.4,176.0,5.4,42.0,3.9,Bangalore,20250719T104007Z
2025-07-20T06:00,1.7,1.6,266.0,7.2,40.0,4.6,Bangalore,20250719T104007Z
2025-07-20T07:00,3.1,3.1,386.0,9.8,37.0,5.4,Bangalore,20250719T104007Z
2025-07-20T08:00,4.0,3.9,451.0,11.1,37.0,5.7,Bangalore,20250719T104007Z
2025-07-20T09:00,3.0,2.9,400.0,9.6,42.0,4.8,Bangalore,20250719T104007Z
2025-07-20T10:00,2.3,2.2,294.0,6.7,49.0,3.4,Bangalore,20250719T104007Z
2025-07-20T11:00,3.7,3.3,234.0,4.8,55.0,2.5,Bangalore,20250719T104007Z
2025-07-20T12:00,3.4,3.0,273.0,4.7,57.0,2.6,Bangalore,20250719T104007Z
2025-07-20T13:00,3.7,3.1,359.0,5.5,57.0,3.2,Bangalore,20250719T104007Z
2025-07-20T14:00,4.1,3.6,432.0,7.2,56.0,3.7,Bangalore,20250719T104007Z
2025-07-20T15:00,4.6,4.4,474.0,10.4,52.0,4.0,Bangalore,20250719T104007Z
2025-07-20T16:00,5.1,4.9,502.0,14.4,47.0,4.2,Bangalore,20250719T104007Z
2025-07-20T17:00,5.1,5.0,516.0,17.4,42.0,4.5,Bangalore,20250719T104007Z
2025-07-20T18:00,6.2,6.0,512.0,18.5,39.0,5.0,Bangalore,20250719T104007Z
2025-07-20T19:00,5.8,5.6,493.0,18.6,38.0,5.6,Bangalore,20250719T104007Z
2025-07-20T20:00,5.7,5.5,462.0,18.0,37.0,5.9,Bangalore,20250719T104007Z
2025-07-20T21:00,5.1,5.0,414.0,16.8,36.0,5.9,Bangalore,20250719T104007Z
2025-07-20T22:00,4.8,4.6,353.0,15.0,36.0,5.6,Bangalore,20250719T104007Z
2025-07-20T23:00,4.3,4.1,296.0,13.1,37.0,5.3,Bangalore,20250719T104007Z
2025-07-21T00:00,3.3,3.2,245.0,11.0,38.0,4.8,Bangalore,20250719T104007Z
2025-07-21T01:00,2.6,2.5,197.0,8.7,40.0,4.3,Bangalore,20250719T104007Z
2025-07-21T02:00,2.2,2.1,165.0,7.0,42.0,3.9,Bangalore,20250719T104007Z
2025-07-21T03:00,1.9,1.8,150.0,5.9,43.0,3.8,Bangalore,20250719T104007Z
2025-07-21T04:00,1.8,1.7,150.0,5.4,44.0,3.9,Bangalore,20250719T104007Z
2025-07-21T05:00,1.9,1.8,173.0,6.1,43.0,4.3,Bangalore,20250719T104007Z
2025-07-21T06:00,2.2,2.1,243.0,9.5,38.0,5.2,Bangalore,20250719T104007Z
2025-07-21T07:00,3.6,3.5,335.0,14.1,32.0,6.3,Bangalore,20250719T104007Z
2025-07-21T08:00,5.5,5.4,387.0,16.3,31.0,6.8,Bangalore,20250719T104007Z
2025-07-21T09:00,3.9,3.7,349.0,13.8,39.0,6.4,Bangalore,20250719T104007Z
2025-07-21T10:00,4.0,3.8,270.0,9.0,53.0,5.4,Bangalore,20250719T104007Z
2025-07-21T11:00,3.8,3.4,232.0,5.2,63.0,4.4,Bangalore,20250719T104007Z
2025-07-21T12:00,4.1,3.3,282.0,3.4,68.0,3.5,Bangalore,20250719T104007Z
2025-07-21T13:00,4.7,3.0,372.0,2.7,69.0,2.5,Bangalore,20250719T104007Z
2025-07-21T14:00,6.6,3.5,442.0,3.9,68.0,2.2,Bangalore,20250719T104007Z
2025-07-21T15:00,8.3,5.4,467.0,8.5,62.0,2.9,Bangalore,20250719T104007Z
2025-07-21T16:00,8.2,6.0,470.0,15.1,52.0,4.1,Bangalore,20250719T104007Z
2025-07-21T17:00,7.9,6.6,465.0,19.7,45.0,5.2,Bangalore,20250719T104007Z
2025-07-21T18:00,9.1,8.1,454.0,20.7,41.0,5.8,Bangalore,20250719T104007Z
2025-07-21T19:00,9.1,7.9,433.0,19.8,40.0,6.2,Bangalore,20250719T104007Z
2025-07-21T20:00,7.5,6.4,404.0,18.3,39.0,6.3,Bangalore,20250719T104007Z
2025-07-21T21:00,6.1,5.2,361.0,16.5,39.0,6.1,Bangalore,20250719T104007Z
2025-07-21T22:00,5.5,4.7,310.0,14.2,40.0,5.5,Bangalore,20250719T104007Z
2025-07-21T23:00,4.5,4.0,262.0,12.0,41.0,5.0,Bangalore,20250719T104007Z
2025-07-22T00:00,3.2,3.0,220.0,9.9,42.0,4.5,Bangalore,20250719T104007Z
2025-07-22T01:00,2.5,2.4,183.0,7.8,44.0,3.9,Bangalore,20250719T104007Z
2025-07-22T02:00,2.7,2.2,158.0,6.2,45.0,3.5,Bangalore,20250719T104007Z
2025-07-22T03:00,2.5,2.0,142.0,4.9,47.0,3.3,Bangalore,20250719T104007Z
2025-07-22T04:00,2.0,1.7,139.0,4.1,48.0,3.3,Bangalore,20250719T104007Z
2025-07-22T05:00,1.9,1.6,170.0,4.7,48.0,3.5,Bangalore,20250719T104007Z
2025-07-22T06:00,2.1,1.7,274.0,8.4,43.0,4.3,Bangalore,20250719T104007Z
2025-07-22T07:00,2.9,2.6,412.0,13.5,37.0,5.4,Bangalore,20250719T104007Z
2025-07-22T08:00,5.5,5.3,488.0,16.1,35.0,6.0,Bangalore,20250719T104007Z
2025-07-22T09:00,3.4,3.2,441.0,13.5,43.0,5.5,Bangalore,20250719T104007Z
2025-07-22T10:00,4.0,3.1,333.0,8.3,55.0,4.4,Bangalore,20250719T104007Z
2025-07-22T11:00,4.1,3.2,254.0,4.4,65.0,3.5,Bangalore,20250719T104007Z
2025-07-22T12:00,3.9,2.9,235.0,3.3,68.0,3.0,Bangalore,20250719T104007Z
2025-07-22T13:00,4.8,3.3,247.0,3.5,68.0,2.8,Bangalore,20250719T104007Z
2025-07-22T14:00,6.2,3.7,288.0,4.6,67.0,2.8,Bangalore,20250719T104007Z
2025-07-22T15:00,6.3,4.4,389.0,6.9,66.0,3.2,Bangalore,20250719T104007Z
2025-07-22T16:00,5.2,4.1,520.0,10.1,63.0,3.8,Bangalore,20250719T104007Z
2025-07-22T17:00,4.7,4.3,595.0,12.8,60.0,4.4,Bangalore,20250719T104007Z
2025-07-22T18:00,5.0,4.8,565.0,14.8,55.0,4.9,Bangalore,20250719T104007Z
2025-07-22T19:00,5.5,5.3,480.0,16.3,48.0,5.4,Bangalore,20250719T104007Z
2025-07-22T20:00,6.1,5.6,402.0,16.8,44.0,5.7,Bangalore,20250719T104007Z
2025-07-22T21:00,5.8,5.3,353.0,15.9,43.0,5.6,Bangalore,20250719T104007Z
2025-07-22T22:00,5.1,4.8,312.0,14.0,43.0,5.3,Bangalore,20250719T104007Z
2025-07-22T23:00,4.3,4.1,271.0,12.0,44.0,4.9,Bangalore,20250719T104007Z
