time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,timestamp
2025-07-19T00:00,23.9,17.7,219.0,11.1,79.0,9.9,Chennai,20250719T104008Z
2025-07-19T01:00,18.7,13.7,215.0,12.3,62.0,9.4,Chennai,20250719T104008Z
2025-07-19T02:00,15.1,11.1,212.0,13.2,48.0,8.8,Chennai,20250719T104008Z
2025-07-19T03:00,12.7,9.5,195.0,13.3,41.0,8.2,Chennai,20250719T104008Z
2025-07-19T04:00,11.3,8.8,178.0,13.3,38.0,7.6,Chennai,20250719T104008Z
2025-07-19T05:00,19.5,15.0,184.0,20.3,29.0,8.9,Chennai,20250719T104008Z
2025-07-19T06:00,17.9,14.0,240.0,18.9,31.0,9.4,Chennai,20250719T104008Z
2025-07-19T07:00,16.6,13.2,319.0,16.8,35.0,10.1,Chennai,20250719T104008Z
2025-07-19T08:00,14.1,11.2,359.0,14.6,42.0,11.1,Chennai,20250719T104008Z
2025-07-19T09:00,10.7,8.7,319.0,12.1,54.0,12.6,Chennai,20250719T104008Z
2025-07-19T10:00,8.8,7.4,241.0,9.3,68.0,14.3,Chennai,20250719T104008Z
2025-07-19T11:00,10.2,8.6,184.0,7.1,84.0,15.6,Chennai,20250719T104008Z
2025-07-19T12:00,11.8,10.2,169.0,5.6,101.0,16.1,Chennai,20250719T104008Z
2025-07-19T13:00,14.1,12.3,176.0,4.7,119.0,16.2,Chennai,20250719T104008Z
2025-07-19T14:00,16.0,14.2,207.0,4.4,132.0,16.0,Chennai,20250719T104008Z
2025-07-19T15:00,17.1,15.3,280.0,4.7,138.0,15.6,Chennai,20250719T104008Z
2025-07-19T16:00,17.5,15.8,377.0,5.7,140.0,14.9,Chennai,20250719T104008Z
2025-07-19T17:00,17.1,15.3,446.0,7.3,135.0,13.7,Chennai,20250719T104008Z
2025-07-19T18:00,16.2,14.3,465.0,10.0,121.0,11.6,Chennai,20250719T104008Z
2025-07-19T19:00,19.6,15.7,457.0,13.3,100.0,9.0,Chennai,20250719T104008Z
2025-07-19T20:00,18.2,14.2,435.0,15.7,82.0,7.4,Chennai,20250719T104008Z
2025-07-19T21:00,15.9,12.9,400.0,16.6,70.0,7.9,Chennai,20250719T104008Z
2025-07-19T22:00,10.7,9.3,352.0,16.6,60.0,9.4,Chennai,20250719T104008Z
2025-07-19T23:00,9.6,8.1,307.0,16.2,53.0,10.2,Chennai,20250719T104008Z
2025-07-20T00:00,9.5,7.9,269.0,15.4,48.0,9.6,Chennai,20250719T104008Z
2025-07-20T01:00,10.3,8.4,234.0,14.1,46.0,8.4,Chennai,20250719T104008Z
2025-07-20T02:00,11.7,9.2,206.0,13.0,44.0,7.3,Chennai,20250719T104008Z
2025-07-20T03:00,11.9,9.1,182.0,11.9,42.0,6.4,Chennai,20250719T104008Z
2025-07-20T04:00,11.8,8.6,165.0,10.9,41.0,5.5,Chennai,20250719T104008Z
2025-07-20T05:00,11.9,7.9,172.0,10.6,40.0,5.1,Chennai,20250719T104008Z
2025-07-20T06:00,12.8,7.8,224.0,11.7,39.0,5.4,Chennai,20250719T104008Z
2025-07-20T07:00,13.6,8.6,301.0,13.6,37.0,6.1,Chennai,20250719T104008Z
2025-07-20T08:00,13.2,8.7,356.0,15.1,37.0,7.0,Chennai,20250719T104008Z
2025-07-20T09:00,12.2,8.3,370.0,15.8,38.0,8.2,Chennai,20250719T104008Z
2025-07-20T10:00,11.1,7.8,362.0,16.0,40.0,9.5,Chennai,20250719T104008Z
2025-07-20T11:00,10.7,7.7,349.0,15.8,44.0,10.7,Chennai,20250719T104008Z
2025-07-20T12:00,10.8,8.1,325.0,14.7,52.0,11.5,Chennai,20250719T104008Z
2025-07-20T13:00,11.1,8.4,295.0,13.1,63.0,12.1,Chennai,20250719T104008Z
2025-07-20T14:00,11.6,9.1,288.0,12.2,72.0,12.4,Chennai,20250719T104008Z
2025-07-20T15:00,12.0,9.6,327.0,12.5,80.0,12.4,Chennai,20250719T104008Z
2025-07-20T16:00,12.7,10.1,388.0,13.4,86.0,12.2,Chennai,20250719T104008Z
2025-07-20T17:00,13.9,11.2,428.0,14.3,89.0,11.6,Chennai,20250719T104008Z
2025-07-20T18:00,15.9,13.2,427.0,14.9,87.0,10.4,Chennai,20250719T104008Z
2025-07-20T19:00,16.9,13.7,405.0,15.4,82.0,8.9,Chennai,20250719T104008Z
2025-07-20T20:00,14.3,11.8,381.0,16.0,75.0,7.9,Chennai,20250719T104008Z
2025-07-20T21:00,14.5,11.8,362.0,16.9,64.0,7.7,Chennai,20250719T104008Z
2025-07-20T22:00,13.9,11.3,342.0,17.9,50.0,8.0,Chennai,20250719T104008Z
2025-07-20T23:00,12.6,10.7,320.0,18.5,39.0,8.2,Chennai,20250719T104008Z
2025-07-21T00:00,11.0,9.8,295.0,18.4,33.0,8.1,Chennai,20250719T104008Z
2025-07-21T01:00,9.5,9.0,269.0,17.8,29.0,8.0,Chennai,20250719T104008Z
2025-07-21T02:00,8.4,8.0,249.0,16.8,28.0,7.7,Chennai,20250719T104008Z
2025-07-21T03:00,7.5,7.0,233.0,14.8,30.0,7.1,Chennai,20250719T104008Z
2025-07-21T04:00,6.5,5.5,223.0,12.4,34.0,6.5,Chennai,20250719T104008Z
2025-07-21T05:00,6.4,5.0,233.0,11.3,36.0,6.2,Chennai,20250719T104008Z
2025-07-21T06:00,6.7,5.2,284.0,12.8,34.0,6.7,Chennai,20250719T104008Z
2025-07-21T07:00,7.2,5.7,356.0,15.5,31.0,7.7,Chennai,20250719T104008Z
2025-07-21T08:00,7.5,6.2,399.0,17.2,30.0,8.5,Chennai,20250719T104008Z
2025-07-21T09:00,7.7,6.5,380.0,16.6,34.0,8.9,Chennai,20250719T104008Z
2025-07-21T10:00,8.1,6.8,333.0,15.1,39.0,9.2,Chennai,20250719T104008Z
2025-07-21T11:00,9.1,7.5,307.0,14.1,45.0,9.5,Chennai,20250719T104008Z
2025-07-21T12:00,10.4,8.4,326.0,14.3,49.0,9.7,Chennai,20250719T104008Z
2025-07-21T13:00,11.0,8.8,367.0,15.0,54.0,9.9,Chennai,20250719T104008Z
2025-07-21T14:00,10.9,8.7,412.0,16.3,57.0,10.2,Chennai,20250719T104008Z
2025-07-21T15:00,11.2,9.6,470.0,18.5,59.0,10.8,Chennai,20250719T104008Z
2025-07-21T16:00,11.3,10.1,532.0,21.2,61.0,11.5,Chennai,20250719T104008Z
2025-07-21T17:00,11.9,10.7,558.0,23.3,62.0,11.6,Chennai,20250719T104008Z
2025-07-21T18:00,13.2,11.6,516.0,24.7,64.0,10.7,Chennai,20250719T104008Z
2025-07-21T19:00,15.7,13.5,437.0,25.6,65.0,9.3,Chennai,20250719T104008Z
2025-07-21T20:00,17.9,15.0,377.0,25.1,65.0,8.2,Chennai,20250719T104008Z
2025-07-21T21:00,17.5,14.2,363.0,22.3,62.0,7.6,Chennai,20250719T104008Z
2025-07-21T22:00,14.5,11.6,367.0,18.1,56.0,7.4,Chennai,20250719T104008Z
2025-07-21T23:00,12.1,9.8,361.0,15.1,51.0,7.2,Chennai,20250719T104008Z
2025-07-22T00:00,11.4,9.3,327.0,14.4,46.0,7.1,Chennai,20250719T104008Z
2025-07-22T01:00,10.9,9.2,282.0,14.9,41.0,7.2,Chennai,20250719T104008Z
2025-07-22T02:00,10.3,8.8,248.0,15.2,37.0,7.3,Chennai,20250719T104008Z
2025-07-22T03:00,9.5,7.9,228.0,14.8,34.0,7.4,Chennai,20250719T104008Z
2025-07-22T04:00,8.6,7.0,218.0,14.2,32.0,7.5,Chennai,20250719T104008Z
2025-07-22T05:00,7.6,6.3,229.0,14.1,31.0,7.7,Chennai,20250719T104008Z
2025-07-22T06:00,7.1,5.9,277.0,15.0,30.0,7.8,Chennai,20250719T104008Z
2025-07-22T07:00,7.7,6.5,346.0,16.3,29.0,8.0,Chennai,20250719T104008Z
2025-07-22T08:00,9.5,7.7,397.0,17.1,30.0,8.5,Chennai,20250719T104008Z
2025-07-22T09:00,9.9,7.7,414.0,16.7,34.0,9.7,Chennai,20250719T104008Z
2025-07-22T10:00,9.6,7.4,414.0,15.6,39.0,11.3,Chennai,20250719T104008Z
2025-07-22T11:00,10.5,7.6,403.0,14.7,46.0,12.7,Chennai,20250719T104008Z
2025-07-22T12:00,8.7,7.2,374.0,13.8,55.0,13.8,Chennai,20250719T104008Z
2025-07-22T13:00,8.9,7.7,335.0,13.0,64.0,14.7,Chennai,20250719T104008Z
2025-07-22T14:00,9.5,8.4,318.0,13.1,71.0,15.5,Chennai,20250719T104008Z
2025-07-22T15:00,10.1,8.8,340.0,14.5,73.0,16.4,Chennai,20250719T104008Z
2025-07-22T16:00,10.5,8.9,385.0,16.9,72.0,17.2,Chennai,20250719T104008Z
2025-07-22T17:00,11.6,9.5,434.0,19.9,68.0,17.4,Chennai,20250719T104008Z
2025-07-22T18:00,13.2,11.0,500.0,24.7,60.0,16.6,Chennai,20250719T104008Z
2025-07-22T19:00,15.0,12.5,570.0,30.2,48.0,15.0,Chennai,20250719T104008Z
2025-07-22T20:00,16.4,13.6,594.0,33.0,40.0,13.4,Chennai,20250719T104008Z
2025-07-22T21:00,17.2,14.3,533.0,30.8,38.0,11.5,Chennai,20250719T104008Z
2025-07-22T22:00,15.9,13.5,425.0,25.8,38.0,9.5,Chennai,20250719T104008Z
2025-07-22T23:00,13.1,11.4,334.0,21.4,39.0,8.1,Chennai,20250719T104008Z
2025-07-23T00:00,10.7,9.6,283.0,18.6,39.0,7.8,Chennai,20250719T104008Z
2025-07-23T01:00,9.0,8.2,250.0,16.3,39.0,8.0,Chennai,20250719T104008Z
2025-07-23T02:00,7.7,6.9,226.0,14.6,39.0,8.2,Chennai,20250719T104008Z
2025-07-23T03:00,6.6,6.0,213.0,13.6,38.0,7.9,Chennai,20250719T104008Z
2025-07-23T04:00,6.0,5.5,210.0,13.2,37.0,7.4,Chennai,20250719T104008Z
2025-07-23T05:00,6.0,5.4,210.0,13.5,36.0,7.3,Chennai,20250719T104008Z
2025-07-23T06:00,6.5,5.7,209.0,15.1,33.0,7.8,Chennai,20250719T104008Z
2025-07-23T07:00,7.6,6.7,209.0,17.4,29.0,8.6,Chennai,20250719T104008Z
2025-07-23T08:00,8.4,7.5,237.0,18.2,31.0,9.6,Chennai,20250719T104008Z
2025-07-23T09:00,8.7,7.7,231.0,16.3,42.0,11.0,Chennai,20250719T104008Z
2025-07-23T10:00,8.3,7.3,216.0,12.9,59.0,12.5,Chennai,20250719T104008Z
2025-07-23T11:00,8.4,7.5,202.0,9.9,75.0,13.1,Chennai,20250719T104008Z
2025-07-23T12:00,9.1,8.1,191.0,7.7,90.0,12.1,Chennai,20250719T104008Z
2025-07-23T13:00,10.0,8.4,181.0,5.9,104.0,10.2,Chennai,20250719T104008Z
2025-07-23T14:00,10.0,8.3,176.0,5.1,114.0,8.6,Chennai,20250719T104008Z
2025-07-23T15:00,13.0,9.7,178.0,5.4,118.0,7.5,Chennai,20250719T104008Z
2025-07-23T16:00,20.0,13.5,186.0,6.7,117.0,6.6,Chennai,20250719T104008Z
2025-07-23T17:00,25.2,16.6,199.0,9.1,110.0,6.2,Chennai,20250719T104008Z
2025-07-23T18:00,20.1,14.5,221.0,13.8,91.0,6.6,Chennai,20250719T104008Z
2025-07-23T19:00,15.5,11.9,249.0,19.7,66.0,7.4,Chennai,20250719T104008Z
2025-07-23T20:00,12.7,10.1,264.0,23.1,48.0,7.9,Chennai,20250719T104008Z
2025-07-23T21:00,11.9,9.1,257.0,21.7,45.0,7.5,Chennai,20250719T104008Z
2025-07-23T22:00,11.1,8.6,238.0,17.9,49.0,6.7,Chennai,20250719T104008Z
2025-07-23T23:00,10.4,8.6,223.0,15.0,51.0,6.2,Chennai,20250719T104008Z
