time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,timestamp
2025-07-19T00:00,27.9,25.9,350.0,20.0,69.0,17.2,Delhi,20250719T104009Z
2025-07-19T01:00,26.6,24.3,312.0,18.4,68.0,16.6,Delhi,20250719T104009Z
2025-07-19T02:00,26.4,23.3,281.0,17.3,67.0,16.4,Delhi,20250719T104009Z
2025-07-19T03:00,26.4,22.9,255.0,17.1,64.0,16.6,Delhi,20250719T104009Z
2025-07-19T04:00,26.0,22.5,237.0,17.5,62.0,17.0,Delhi,20250719T104009Z
2025-07-19T05:00,18.3,16.8,238.0,16.1,58.0,18.3,Delhi,20250719T104009Z
2025-07-19T06:00,16.6,15.3,277.0,16.1,57.0,19.5,Delhi,20250719T104009Z
2025-07-19T07:00,15.1,14.5,336.0,15.9,57.0,21.1,Delhi,20250719T104009Z
2025-07-19T08:00,13.2,13.0,374.0,15.1,64.0,22.1,Delhi,20250719T104009Z
2025-07-19T09:00,13.6,13.5,369.0,13.0,83.0,22.0,Delhi,20250719T104009Z
2025-07-19T10:00,15.6,15.4,343.0,10.2,110.0,21.4,Delhi,20250719T104009Z
2025-07-19T11:00,21.7,17.8,322.0,8.1,131.0,20.5,Delhi,20250719T104009Z
2025-07-19T12:00,103.8,25.9,312.0,6.7,144.0,19.3,Delhi,20250719T104009Z
2025-07-19T13:00,142.5,31.5,305.0,6.0,151.0,18.0,Delhi,20250719T104009Z
2025-07-19T14:00,186.7,38.1,310.0,6.8,154.0,17.3,Delhi,20250719T104009Z
2025-07-19T15:00,237.5,43.3,290.0,8.9,153.0,17.7,Delhi,20250719T104009Z
2025-07-19T16:00,297.1,48.9,281.0,12.5,146.0,18.9,Delhi,20250719T104009Z
2025-07-19T17:00,322.2,55.5,393.0,19.8,133.0,20.4,Delhi,20250719T104009Z
2025-07-19T18:00,287.8,60.5,759.0,34.3,108.0,22.7,Delhi,20250719T104009Z
2025-07-19T19:00,229.6,65.0,1247.0,52.4,76.0,25.5,Delhi,20250719T104009Z
2025-07-19T20:00,198.8,66.1,1571.0,65.2,51.0,27.2,Delhi,20250719T104009Z
2025-07-19T21:00,183.9,66.4,1597.0,68.5,38.0,27.2,Delhi,20250719T104009Z
2025-07-19T22:00,177.9,66.8,1459.0,66.5,31.0,26.2,Delhi,20250719T104009Z
2025-07-19T23:00,171.4,66.8,1278.0,63.4,26.0,24.9,Delhi,20250719T104009Z
2025-07-20T00:00,166.2,65.2,1059.0,59.9,24.0,23.2,Delhi,20250719T104009Z
2025-07-20T01:00,167.2,64.3,796.0,55.1,24.0,21.1,Delhi,20250719T104009Z
2025-07-20T02:00,177.0,64.0,589.0,51.1,24.0,19.6,Delhi,20250719T104009Z
2025-07-20T03:00,186.3,62.4,482.0,49.3,20.0,19.0,Delhi,20250719T104009Z
2025-07-20T04:00,189.1,60.5,432.0,48.1,16.0,18.9,Delhi,20250719T104009Z
2025-07-20T05:00,190.0,59.5,406.0,44.8,18.0,19.0,Delhi,20250719T104009Z
2025-07-20T06:00,172.8,58.1,411.0,37.3,30.0,19.1,Delhi,20250719T104009Z
2025-07-20T07:00,153.2,50.4,442.0,27.8,49.0,19.4,Delhi,20250719T104009Z
2025-07-20T08:00,114.1,34.7,449.0,19.7,69.0,19.6,Delhi,20250719T104009Z
2025-07-20T09:00,116.4,28.8,402.0,14.3,92.0,19.6,Delhi,20250719T104009Z
2025-07-20T10:00,131.3,27.9,333.0,10.3,116.0,19.6,Delhi,20250719T104009Z
2025-07-20T11:00,167.2,32.0,285.0,7.6,134.0,19.2,Delhi,20250719T104009Z
2025-07-20T12:00,205.8,37.7,278.0,6.0,143.0,18.3,Delhi,20250719T104009Z
2025-07-20T13:00,236.6,41.1,293.0,5.7,146.0,17.0,Delhi,20250719T104009Z
2025-07-20T14:00,275.7,43.5,316.0,6.9,145.0,16.0,Delhi,20250719T104009Z
2025-07-20T15:00,310.1,45.9,296.0,8.2,141.0,14.9,Delhi,20250719T104009Z
2025-07-20T16:00,323.2,47.3,284.0,10.9,134.0,14.0,Delhi,20250719T104009Z
2025-07-20T17:00,294.3,50.1,424.0,19.5,119.0,14.9,Delhi,20250719T104009Z
2025-07-20T18:00,270.1,56.5,896.0,39.2,92.0,18.6,Delhi,20250719T104009Z
2025-07-20T19:00,278.5,69.8,1520.0,64.7,58.0,24.1,Delhi,20250719T104009Z
2025-07-20T20:00,295.2,82.9,1899.0,84.7,30.0,29.5,Delhi,20250719T104009Z
2025-07-20T21:00,308.3,93.6,1820.0,95.0,15.0,35.6,Delhi,20250719T104009Z
2025-07-20T22:00,316.6,107.6,1496.0,99.8,6.0,41.6,Delhi,20250719T104009Z
2025-07-20T23:00,264.5,110.1,1170.0,100.0,1.0,43.6,Delhi,20250719T104009Z
2025-07-21T00:00,192.8,85.9,897.0,94.1,0.0,38.4,Delhi,20250719T104009Z
2025-07-21T01:00,151.3,69.8,622.0,83.6,3.0,29.3,Delhi,20250719T104009Z
2025-07-21T02:00,122.9,58.9,417.0,73.6,7.0,22.0,Delhi,20250719T104009Z
2025-07-21T03:00,98.7,51.3,308.0,65.9,8.0,18.7,Delhi,20250719T104009Z
2025-07-21T04:00,82.7,45.6,269.0,58.6,10.0,17.3,Delhi,20250719T104009Z
2025-07-21T05:00,77.8,41.9,300.0,51.9,16.0,16.6,Delhi,20250719T104009Z
2025-07-21T06:00,89.2,41.1,442.0,46.1,27.0,16.7,Delhi,20250719T104009Z
2025-07-21T07:00,112.0,46.2,653.0,40.8,42.0,17.6,Delhi,20250719T104009Z
2025-07-21T08:00,142.5,48.9,807.0,34.7,62.0,18.5,Delhi,20250719T104009Z
2025-07-21T09:00,179.3,49.0,828.0,26.1,92.0,18.8,Delhi,20250719T104009Z
2025-07-21T10:00,216.5,50.8,793.0,16.8,128.0,19.0,Delhi,20250719T104009Z
2025-07-21T11:00,238.0,50.3,800.0,10.3,154.0,19.8,Delhi,20250719T104009Z
2025-07-21T12:00,215.1,44.5,912.0,7.5,165.0,21.5,Delhi,20250719T104009Z
2025-07-21T13:00,194.2,43.4,1066.0,7.5,167.0,23.7,Delhi,20250719T104009Z
2025-07-21T14:00,162.5,41.8,1179.0,11.6,160.0,25.7,Delhi,20250719T104009Z
2025-07-21T15:00,101.3,36.1,1213.0,22.6,141.0,27.3,Delhi,20250719T104009Z
2025-07-21T16:00,64.0,40.6,1205.0,37.7,112.0,28.7,Delhi,20250719T104009Z
2025-07-21T17:00,61.5,50.3,1185.0,50.1,87.0,29.8,Delhi,20250719T104009Z
2025-07-21T18:00,69.8,61.2,1166.0,57.8,67.0,30.9,Delhi,20250719T104009Z
2025-07-21T19:00,69.2,64.0,1135.0,62.9,50.0,31.8,Delhi,20250719T104009Z
2025-07-21T20:00,62.4,59.0,1083.0,64.7,38.0,31.8,Delhi,20250719T104009Z
2025-07-21T21:00,57.6,55.1,1002.0,62.0,31.0,30.3,Delhi,20250719T104009Z
2025-07-21T22:00,55.6,53.2,900.0,56.0,29.0,27.8,Delhi,20250719T104009Z
2025-07-21T23:00,53.7,51.1,793.0,49.7,30.0,25.5,Delhi,20250719T104009Z
2025-07-22T00:00,50.2,46.7,674.0,43.7,34.0,23.7,Delhi,20250719T104009Z
2025-07-22T01:00,48.9,44.8,550.0,37.5,41.0,22.1,Delhi,20250719T104009Z
2025-07-22T02:00,46.9,42.8,452.0,32.5,47.0,20.7,Delhi,20250719T104009Z
2025-07-22T03:00,43.3,40.2,374.0,29.1,50.0,19.3,Delhi,20250719T104009Z
2025-07-22T04:00,39.7,37.0,323.0,26.9,52.0,18.1,Delhi,20250719T104009Z
2025-07-22T05:00,36.6,34.1,350.0,26.2,53.0,17.7,Delhi,20250719T104009Z
2025-07-22T06:00,37.6,35.3,531.0,28.1,53.0,18.6,Delhi,20250719T104009Z
2025-07-22T07:00,33.6,31.4,790.0,31.4,53.0,20.3,Delhi,20250719T104009Z
2025-07-22T08:00,30.9,27.6,957.0,32.7,55.0,21.7,Delhi,20250719T104009Z
2025-07-22T09:00,30.9,25.2,942.0,30.2,62.0,22.6,Delhi,20250719T104009Z
2025-07-22T10:00,43.7,27.3,835.0,25.7,73.0,23.3,Delhi,20250719T104009Z
2025-07-22T11:00,75.9,30.0,728.0,21.4,83.0,23.5,Delhi,20250719T104009Z
2025-07-22T12:00,106.2,34.7,635.0,17.6,95.0,22.9,Delhi,20250719T104009Z
2025-07-22T13:00,122.0,38.0,543.0,14.0,106.0,21.9,Delhi,20250719T104009Z
2025-07-22T14:00,122.5,36.9,507.0,12.3,112.0,21.1,Delhi,20250719T104009Z
2025-07-22T15:00,120.6,35.2,483.0,12.3,109.0,20.6,Delhi,20250719T104009Z
2025-07-22T16:00,115.7,34.1,515.0,14.2,99.0,20.3,Delhi,20250719T104009Z
2025-07-22T17:00,102.0,34.5,794.0,19.8,85.0,20.7,Delhi,20250719T104009Z
2025-07-22T18:00,87.5,36.0,1586.0,31.9,64.0,21.9,Delhi,20250719T104009Z
2025-07-22T19:00,81.0,44.2,2625.0,47.6,39.0,23.8,Delhi,20250719T104009Z
2025-07-22T20:00,80.3,51.1,3302.0,60.3,20.0,26.5,Delhi,20250719T104009Z
2025-07-22T21:00,86.4,59.6,3323.0,67.1,11.0,31.1,Delhi,20250719T104009Z
2025-07-22T22:00,97.8,69.2,2981.0,70.8,7.0,36.6,Delhi,20250719T104009Z
2025-07-22T23:00,107.1,76.8,2549.0,73.2,5.0,40.0,Delhi,20250719T104009Z
2025-07-23T00:00,112.0,78.2,2051.0,74.8,2.0,39.4,Delhi,20250719T104009Z
