time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,timestamp
2025-07-19T00:00,25.8,21.5,302.0,13.7,20.0,6.8,Kolkata,20250719T104008Z
2025-07-19T01:00,25.8,21.5,254.0,14.0,19.0,6.5,Kolkata,20250719T104008Z
2025-07-19T02:00,25.9,21.6,222.0,14.1,18.0,6.4,Kolkata,20250719T104008Z
2025-07-19T03:00,25.4,21.0,211.0,14.1,18.0,6.4,Kolkata,20250719T104008Z
2025-07-19T04:00,25.4,21.0,217.0,13.9,18.0,6.6,Kolkata,20250719T104008Z
2025-07-19T05:00,18.8,15.5,234.0,8.5,34.0,5.7,Kolkata,20250719T104008Z
2025-07-19T06:00,17.8,15.0,271.0,7.5,41.0,6.7,Kolkata,20250719T104008Z
2025-07-19T07:00,16.9,14.9,320.0,6.1,52.0,8.0,Kolkata,20250719T104008Z
2025-07-19T08:00,15.8,14.2,351.0,4.8,63.0,9.0,Kolkata,20250719T104008Z
2025-07-19T09:00,16.2,14.7,347.0,3.7,75.0,9.1,Kolkata,20250719T104008Z
2025-07-19T10:00,17.5,16.0,325.0,2.7,89.0,8.9,Kolkata,20250719T104008Z
2025-07-19T11:00,20.0,18.6,309.0,2.1,99.0,8.7,Kolkata,20250719T104008Z
2025-07-19T12:00,22.5,21.1,302.0,1.8,107.0,8.8,Kolkata,20250719T104008Z
2025-07-19T13:00,29.9,28.1,301.0,1.7,112.0,8.9,Kolkata,20250719T104008Z
2025-07-19T14:00,24.3,23.0,318.0,2.3,111.0,8.9,Kolkata,20250719T104008Z
2025-07-19T15:00,22.6,21.4,375.0,3.9,101.0,8.8,Kolkata,20250719T104008Z
2025-07-19T16:00,20.1,18.8,450.0,6.0,86.0,8.6,Kolkata,20250719T104008Z
2025-07-19T17:00,18.6,17.3,497.0,7.9,72.0,8.5,Kolkata,20250719T104008Z
2025-07-19T18:00,19.4,17.9,487.0,9.3,61.0,8.8,Kolkata,20250719T104008Z
2025-07-19T19:00,19.3,17.3,448.0,10.4,50.0,9.2,Kolkata,20250719T104008Z
2025-07-19T20:00,20.2,18.2,416.0,11.1,42.0,9.2,Kolkata,20250719T104008Z
2025-07-19T21:00,21.8,19.7,410.0,11.2,37.0,8.6,Kolkata,20250719T104008Z
2025-07-19T22:00,20.8,18.6,411.0,10.9,34.0,7.6,Kolkata,20250719T104008Z
2025-07-19T23:00,18.3,15.7,395.0,10.4,32.0,6.7,Kolkata,20250719T104008Z
2025-07-20T00:00,16.3,13.5,339.0,9.7,31.0,6.0,Kolkata,20250719T104008Z
2025-07-20T01:00,15.4,12.6,266.0,8.8,32.0,5.5,Kolkata,20250719T104008Z
2025-07-20T02:00,14.6,11.9,218.0,8.4,32.0,5.3,Kolkata,20250719T104008Z
2025-07-20T03:00,14.4,12.0,217.0,9.2,29.0,5.6,Kolkata,20250719T104008Z
2025-07-20T04:00,15.1,12.8,242.0,10.5,26.0,6.2,Kolkata,20250719T104008Z
2025-07-20T05:00,16.4,14.2,270.0,11.0,27.0,7.1,Kolkata,20250719T104008Z
2025-07-20T06:00,15.4,12.9,303.0,9.7,35.0,8.4,Kolkata,20250719T104008Z
2025-07-20T07:00,15.8,13.3,340.0,7.6,46.0,9.8,Kolkata,20250719T104008Z
2025-07-20T08:00,16.5,13.8,352.0,5.7,58.0,10.7,Kolkata,20250719T104008Z
2025-07-20T09:00,17.2,14.3,315.0,4.3,70.0,10.6,Kolkata,20250719T104008Z
2025-07-20T10:00,17.5,14.6,253.0,3.1,82.0,9.9,Kolkata,20250719T104008Z
2025-07-20T11:00,17.1,14.4,215.0,2.3,91.0,9.3,Kolkata,20250719T104008Z
2025-07-20T12:00,19.6,16.1,218.0,1.7,96.0,9.1,Kolkata,20250719T104008Z
2025-07-20T13:00,18.0,15.1,244.0,1.4,98.0,9.1,Kolkata,20250719T104008Z
2025-07-20T14:00,17.6,14.8,288.0,2.1,95.0,9.1,Kolkata,20250719T104008Z
2025-07-20T15:00,15.5,12.7,355.0,4.3,85.0,9.1,Kolkata,20250719T104008Z
2025-07-20T16:00,16.2,13.6,439.0,7.3,71.0,9.3,Kolkata,20250719T104008Z
2025-07-20T17:00,18.0,15.8,519.0,10.2,57.0,9.5,Kolkata,20250719T104008Z
2025-07-20T18:00,23.3,21.3,604.0,12.8,44.0,10.1,Kolkata,20250719T104008Z
2025-07-20T19:00,24.0,22.3,684.0,15.1,32.0,10.9,Kolkata,20250719T104008Z
2025-07-20T20:00,22.9,21.1,710.0,16.4,23.0,11.1,Kolkata,20250719T104008Z
2025-07-20T21:00,22.6,21.0,640.0,15.9,19.0,10.3,Kolkata,20250719T104008Z
2025-07-20T22:00,21.0,19.6,516.0,14.4,19.0,9.0,Kolkata,20250719T104008Z
2025-07-20T23:00,17.9,16.5,408.0,13.2,18.0,7.8,Kolkata,20250719T104008Z
2025-07-21T00:00,16.4,15.0,338.0,12.6,17.0,6.9,Kolkata,20250719T104008Z
2025-07-21T01:00,16.4,14.9,285.0,12.3,16.0,6.2,Kolkata,20250719T104008Z
2025-07-21T02:00,17.3,15.8,260.0,12.8,14.0,6.0,Kolkata,20250719T104008Z
2025-07-21T03:00,19.3,17.7,281.0,15.3,10.0,6.7,Kolkata,20250719T104008Z
2025-07-21T04:00,22.7,21.0,330.0,18.5,6.0,8.0,Kolkata,20250719T104008Z
2025-07-21T05:00,29.3,27.4,367.0,19.5,7.0,9.1,Kolkata,20250719T104008Z
2025-07-21T06:00,23.8,21.8,378.0,16.0,16.0,9.8,Kolkata,20250719T104008Z
2025-07-21T07:00,16.9,14.3,378.0,10.3,31.0,10.2,Kolkata,20250719T104008Z
2025-07-21T08:00,16.2,13.2,364.0,5.8,48.0,10.5,Kolkata,20250719T104008Z
2025-07-21T09:00,17.3,13.9,328.0,4.0,68.0,10.5,Kolkata,20250719T104008Z
2025-07-21T10:00,17.9,14.4,278.0,3.4,91.0,10.3,Kolkata,20250719T104008Z
2025-07-21T11:00,20.0,16.6,247.0,3.2,110.0,10.0,Kolkata,20250719T104008Z
2025-07-21T12:00,21.4,18.2,245.0,3.0,126.0,9.8,Kolkata,20250719T104008Z
2025-07-21T13:00,22.2,19.2,260.0,3.1,139.0,9.6,Kolkata,20250719T104008Z
2025-07-21T14:00,22.0,19.0,290.0,3.7,138.0,9.3,Kolkata,20250719T104008Z
2025-07-21T15:00,19.1,17.0,340.0,4.5,115.0,8.5,Kolkata,20250719T104008Z
2025-07-21T16:00,16.5,14.6,404.0,5.7,79.0,7.5,Kolkata,20250719T104008Z
2025-07-21T17:00,15.4,13.7,459.0,8.1,49.0,7.5,Kolkata,20250719T104008Z
2025-07-21T18:00,19.1,17.8,506.0,13.1,32.0,9.4,Kolkata,20250719T104008Z
2025-07-21T19:00,25.8,24.4,545.0,19.3,20.0,12.2,Kolkata,20250719T104008Z
2025-07-21T20:00,32.1,30.9,553.0,23.4,12.0,13.8,Kolkata,20250719T104008Z
2025-07-21T21:00,31.3,29.9,509.0,23.2,8.0,13.2,Kolkata,20250719T104008Z
2025-07-21T22:00,28.2,26.7,435.0,20.8,8.0,11.4,Kolkata,20250719T104008Z
2025-07-21T23:00,27.0,25.6,368.0,19.1,8.0,9.9,Kolkata,20250719T104008Z
2025-07-22T00:00,28.1,26.5,316.0,19.2,6.0,9.2,Kolkata,20250719T104008Z
2025-07-22T01:00,30.3,28.6,273.0,20.0,5.0,8.9,Kolkata,20250719T104008Z
2025-07-22T02:00,31.2,29.5,252.0,20.5,4.0,8.8,Kolkata,20250719T104008Z
2025-07-22T03:00,27.2,25.7,271.0,20.8,3.0,9.0,Kolkata,20250719T104008Z
2025-07-22T04:00,28.0,26.3,314.0,20.8,4.0,9.5,Kolkata,20250719T104008Z
2025-07-22T05:00,30.9,29.5,346.0,19.7,9.0,10.3,Kolkata,20250719T104008Z
2025-07-22T06:00,25.2,23.5,355.0,16.6,21.0,11.7,Kolkata,20250719T104008Z
2025-07-22T07:00,19.8,17.6,354.0,12.3,38.0,13.4,Kolkata,20250719T104008Z
2025-07-22T08:00,17.3,15.0,344.0,8.7,56.0,14.2,Kolkata,20250719T104008Z
2025-07-22T09:00,16.3,14.3,319.0,6.3,79.0,13.3,Kolkata,20250719T104008Z
2025-07-22T10:00,16.2,14.6,286.0,4.5,104.0,11.6,Kolkata,20250719T104008Z
2025-07-22T11:00,16.2,14.8,263.0,3.3,120.0,10.0,Kolkata,20250719T104008Z
2025-07-22T12:00,16.2,15.0,254.0,2.7,123.0,9.0,Kolkata,20250719T104008Z
2025-07-22T13:00,16.1,14.9,255.0,2.6,117.0,8.1,Kolkata,20250719T104008Z
2025-07-22T14:00,16.0,14.6,274.0,2.9,106.0,7.6,Kolkata,20250719T104008Z
2025-07-22T15:00,13.7,12.7,320.0,3.4,89.0,7.3,Kolkata,20250719T104008Z
2025-07-22T16:00,12.8,11.9,384.0,4.3,68.0,7.3,Kolkata,20250719T104008Z
2025-07-22T17:00,11.8,11.0,445.0,6.3,49.0,7.8,Kolkata,20250719T104008Z
2025-07-22T18:00,15.7,15.1,510.0,10.3,34.0,9.3,Kolkata,20250719T104008Z
